natureza_despesa,id_unidade,valor,unidade
CUSTEIO,757,"R$       803.994,46",ARQUIVO CENTRAL/DIRECAO
MAT. CONSUMO,757,"R$        76.148,54",ARQUIVO CENTRAL/DIRECAO
PASSAGENS,757,"R$        37.263,34",ARQUIVO CENTRAL/DIRECAO
SERV. PESSOA JURÍDICA,757,"R$       457.946,23",ARQUIVO CENTRAL/DIRECAO
SERVIÇOS / UG-GESTÃO,757,"R$     1.348.351,34",ARQUIVO CENTRAL/DIRECAO
EQUIP. MATERIAL PERMANENTE,757,"R$       168.425,99",ARQUIVO CENTRAL/DIRECAO
DIÁRIAS,757,"R$        33.257,39",ARQUIVO CENTRAL/DIRECAO
EXERCÍCIOS ANTERIORES - 1,757,"R$       580.613,66",ARQUIVO CENTRAL/DIRECAO
CUSTEIO,1516,"R$         6.875,00",ASSESSORIA DE COMUNICACAO INSTITUCIONAL
PASSAGENS,84,"R$        17.174,89",AUDITORIA
DIÁRIAS,84,"R$         9.099,98",AUDITORIA
EQUIP. MATERIAL PERMANENTE,84,"R$        97.350,00",AUDITORIA
SERV. PESSOA JURÍDICA,84,"R$         2.296,22",AUDITORIA
CUSTEIO,84,"R$       330.656,97",AUDITORIA
MAT. CONSUMO,84,"R$         6.988,48",AUDITORIA
EQUIPAMENTOS E MATERIAL PERMANENTE,84,"R$        20.800,00",AUDITORIA
EQUIP. MATERIAL PERMANENTE,245,"R$         7.730,00",BANCO DE SERV. TEC. CEDIDOS/AFASTADOS
CUSTEIO,245,"R$         3.643,00",BANCO DE SERV. TEC. CEDIDOS/AFASTADOS
SERV. PESSOA JURÍDICA,245,"R$         1.800,00",BANCO DE SERV. TEC. CEDIDOS/AFASTADOS
OBRIGAÇÕES PATRONAIS,256,"R$        63.680,44",BIBLIOTECA CENTRAL
CUSTEIO,256,"R$     2.898.189,03",BIBLIOTECA CENTRAL
EQUIPAMENTOS E MATERIAL PERMANENTE,256,"R$        49.900,00",BIBLIOTECA CENTRAL
SERV. PESSOA FÍSICA,256,"R$         1.594,50",BIBLIOTECA CENTRAL
INDENIZAÇÕES E RESTITUIÇÕE,256,"R$           313,65",BIBLIOTECA CENTRAL
CAPITAL,256,"R$     2.474.752,39",BIBLIOTECA CENTRAL
SERV. PESSOA JURÍDICA,256,"R$     3.970.452,01",BIBLIOTECA CENTRAL
SERVIÇOS TIC,256,"R$     1.554.596,56",BIBLIOTECA CENTRAL
SERVIÇOS DE TECNOLOGIA DA INFORMAÇÃO E COMUNICAÇÃO - PJ,256,"R$     5.956.122,43",BIBLIOTECA CENTRAL
MAT. CONSUMO,256,"R$       134.551,72",BIBLIOTECA CENTRAL
DIÁRIAS,256,"R$        30.447,08",BIBLIOTECA CENTRAL
PASSAGENS,256,"R$        68.769,28",BIBLIOTECA CENTRAL
EQUIP. MATERIAL PERMANENTE,256,"R$     6.406.599,67",BIBLIOTECA CENTRAL
SERV. PESSOA JURÍDICA,643,"R$        56.666,77",CENTRO DE APOIO AO DESENV TECNOLOGICO
CAPITAL,643,"R$         5.628,00",CENTRO DE APOIO AO DESENV TECNOLOGICO
SERVIÇOS TIC,643,"R$         3.435,53",CENTRO DE APOIO AO DESENV TECNOLOGICO
SERV. PESSOA FÍSICA,643,"R$        24.000,00",CENTRO DE APOIO AO DESENV TECNOLOGICO
EQUIP. MATERIAL PERMANENTE,643,"R$       135.907,18",CENTRO DE APOIO AO DESENV TECNOLOGICO
MAT. CONSUMO,643,"R$        43.559,59",CENTRO DE APOIO AO DESENV TECNOLOGICO
AUXÍLIO FINANCEIRO A PESQUISADORES,643,"R$       247.500,00",CENTRO DE APOIO AO DESENV TECNOLOGICO
CUSTEIO,643,"R$       632.333,01",CENTRO DE APOIO AO DESENV TECNOLOGICO
EQUIP. MATERIAL PERMANENTE,640,"R$        28.000,00",CENTRO DE DESENVOLVIMENTO SUSTENTÁVEL
PASSAGENS,640,"R$        27.379,61",CENTRO DE DESENVOLVIMENTO SUSTENTÁVEL
SERV. PESSOA FÍSICA,640,"R$         2.671,90",CENTRO DE DESENVOLVIMENTO SUSTENTÁVEL
CAPITAL,640,"R$       966.400,00",CENTRO DE DESENVOLVIMENTO SUSTENTÁVEL
MAT. CONSUMO,640,"R$         5.000,00",CENTRO DE DESENVOLVIMENTO SUSTENTÁVEL
DIÁRIAS,640,"R$         9.908,72",CENTRO DE DESENVOLVIMENTO SUSTENTÁVEL
CONTRIBUICOES,640,"R$         6.000,00",CENTRO DE DESENVOLVIMENTO SUSTENTÁVEL
CUSTEIO,640,"R$       635.472,72",CENTRO DE DESENVOLVIMENTO SUSTENTÁVEL
AUX. FINANCEIRO ESTUDANTE,640,"R$         3.600,00",CENTRO DE DESENVOLVIMENTO SUSTENTÁVEL
SERV. PESSOA JURÍDICA,640,"R$         2.980,58",CENTRO DE DESENVOLVIMENTO SUSTENTÁVEL
CUSTEIO,646,"R$     1.489.328,14",CENTRO DE EDUCACAO A DISTANCIA
CONTRIBUICOES,646,"R$         2.000,00",CENTRO DE EDUCACAO A DISTANCIA
